	평점	일시	감상평
3527	9	2020.01.24 21:55	전쟁 영화중에 수작입니다. 진주만 후속~~
3528	10	2020.01.24 21:51	덕분에 우리나라도 같이 수호한 미국에게 감사하네요.
3529	8	2020.01.24 21:49	cg가 싸구려틱하긴했는데 실화를 기반으로 해서 감동은 있었어요 넷플다큐 10대사건으로보는 2차세계대전 미드웨이편을 보시면 더 풍부하게 즐길수있을거예요
3530	10	2020.01.24 20:40	재미있네요 영화
3531	10	2020.01.24 01:45	최근본 전쟁영화중 최고! 일본 일장기위에  포탄떨어질때 나도모르게 뜨거운박수!!
3532	10	2020.01.24 01:22	미드웨이 해전 영화 진주만 공습 이후에 벌어지는 과정  진주만 보고 미드웨이 보면 딱 감이 온다
3533	10	2020.01.23 23:57	이건 대박이다. 감동과 전율
3534	10	2020.01.23 21:47	영화 진짜 재밌어용 추천추천 일본인들 재수없어
3535	10	2020.01.23 21:34	미국간지의 정석...
3536	10	2020.01.22 23:13	영화관에서 안본게 후회댐 ㅠㅠ
3537	10	2020.01.22 20:28	
3538	10	2020.01.22 18:53	...
3539	6	2020.01.22 09:57	
3540	8	2020.01.22 05:18	실화를 기반으로 한 비행기 전투 액션은 정말 장관 그 자체. 진주만 공습을 글로만 봤는데 그 시대에 미국을 선제공격하는 배짱과 항공모함까지 보유한 일본이 신기하고 놀랍다.
3541	8	2020.01.22 01:15	영화 상영관이 거의없어요 시간찾기도힘듦ㅜㅜ 그러나 극사실주의에 기반한 영상과 연출이 그날의 미드웨이에 와있는듯합니다 중간중간 지루한것도 있지만, 역사를 눈으로 직접 배울수있는 좋은 기회였습니다. 일본이 너무 멋있게 그려져서 1점뺍니다 하지만, 그때 그시절 일본 공군력이 월등했으니 인정하면서도 다시한번더 일본이  전쟁을 일으키지 않도록 반성하길바랍니다 
3542	6	2020.01.21 22:21	감독이 감독이다보니 확실히 전투씬은 볼만하지만 전체적인 내용구성이 너무 산만한 게 아쉬움
3543	10	2020.01.21 21:11	끝까지 기록남기려고 영상찍는 씬에서 빵터졌네 ㅋㅋㅋ
3544	8	2020.01.21 19:04	근래 개봉하는 영화중에선 퀄리티 가장 좋습니다. 그러나 아쉬운점도 많은 영화
3545	10	2020.01.21 18:06	이건 나의 띵작!!!홀리쮓
3546	8	2020.01.21 13:39	전투신 대박입니다. 마지막에 욱일기에 대해서 설명이 있었으면 좋았을텐데
3547	10	2020.01.21 12:53	다른 말이 필요없음.라이언일병구하기 이후 가장 기억에 남을 전쟁영화...
3548	10	2020.01.21 11:59	
3549	10	2020.01.21 11:16	일본이 싫어하는 영화 ..
3550	10	2020.01.21 07:55	브루노 ㅈㄴ 멋있다. ㄹㅇ참군인
3551	10	2020.01.21 05:56	삽질하는 나구모중장역의 우리 쿠니무라준 곡성아재는 왜 출연진에 없냐 네이버야 일좀 똑바로쳐해라
3552	10	2020.01.21 00:53	
3553	10	2020.01.20 23:57	본인 아스날팬인데 주인공이 자카 닮아서 신경쓰였음. 영화는 재밌음.
3554	9	2020.01.20 21:23	태평양 전쟁을 다룬 많은 영화를 봤는데, 충분히 수작이라고 할만하네요. 진주만 생각하실 분 있을 거 같은데 둘이 집중시킨 부분이 완전 다릅니다. 전쟁 그 자체를 다루고 있기 때문에 평소 이 소재에 관심 있었던 분들에게 강력 추천합니다. 근데 항모가 뭔지, 함재기가 뭔지, 뇌격기가 뭔지...이런 거 모르고 보면 별 재미 없을 지도... 
3555	9	2020.01.20 20:40	백두산 괜히 봣네 시부레
3556	9	2020.01.20 16:58	최근에 본 영화 중 가장 볼 만 했습니다!
3557	10	2020.01.20 16:08	
3558	10	2020.01.20 14:32	퓨리 이후 최고의 전쟁영화입니다~!♡
3559	10	2020.01.20 13:42	별5개 눌렀지만 사실 별2개 주고 싶고 연출은 엉성 하고 배우들 연기는 재연배우급임   초반에 일본 전투기가 기관총 난사하면서 날아오는데 미해군병사들이 서서 구경하고 있음 ㅋ 한참있다가 한명이 공격받는다! 외치니까 그제서야 상황에 반응함 ㅋㅋ CG만 잘 처리 했지 뭔가 터미네이터 다크페이트 처럼 연출이 어눌하고 몰입도가 낮아서 지루함 
3560	10	2020.01.20 11:35	
3561	3	2020.01.20 05:13	전체적으로 산만해서 재미나 카타르시스가 없는  전쟁 다큐에 필요없는 살을 약간 붙인 느낌.
3562	7	2020.01.20 02:49	항공모함 격추씬은 실감났다.근데 식상한 스토리다.시각효과만 좋은영화.
3563	8	2020.01.19 23:40	재밌어요
3564	8	2020.01.19 23:35	최근 본영화중 재밌게 잘보았음.
3565	9	2020.01.19 22:19	최소 500만은 가야할 작품. 아들과 함께 또 보고 싶네요 초 강추 영화!
3566	8	2020.01.19 21:35	오락영화가 아닌 역사영화!
3567	10	2020.01.19 17:41	
3568	10	2020.01.19 17:18	사실적이면서 옛날 진주만을 연상시키는 그래픽과 폭팔이 갠인적으로 마음의 들었습니다.
3569	10	2020.01.19 15:02	꼭 보세요.. 두번 보세요..
3570	10	2020.01.19 13:57	일본 항공모함 찢어지고 터질때 개상쾌
3571	10	2020.01.19 11:18	한편의 잘 만든 전쟁 다큐멘터리 느낌의  수작
3572	10	2020.01.19 10:21	이런 영화가 흥행되지 못하는게 안타깝습니다...
3573	10	2020.01.19 03:02	미국에 감사함을 표하며, 전쟁에서 돌아가신 고인들의 명복을 빕니다. 진짜 한국인들은 봐야할것같은 영화네요ㅠㅠ 영화 진주만도 생각나서 좋았어요..
3574	7	2020.01.19 02:49	기대하고 봤다가 쫌... 걍 볼만함
3575	6	2020.01.19 02:26	뭔가 엄청 화려한 비행액션을 기대한다거나 통쾌한 역습을 기대하기엔  좀 지루하고 실망할 영화, 진주만이 훨배 나았음?긴 전쟁과정을 다 담기엔 스토리 연결이 부족하여 보고난후 전쟁과정 다 검색해봄?보면 옛날 전쟁 방법이나 이쪽이나 저쪽이나 죽어나가는 거 보면 마음이 무거울 영화? 
3576	10	2020.01.19 00:59	무슨말이 필요할까. 그냥 너~~~무 재밌고, 심장이 너무 쿵쾅거려서 힘들었어ㅋㅋㅋ 국적을 막론하고 쓰러져간 젊은이들은 어쩔것인지.. 전쟁은 정말 아니네.
3577	10	2020.01.19 00:32	진주만과는 달리 현실적으로 어떤 상황인지 실감나게한다.스릴있고 쾌감이 좋다
3578	10	2020.01.18 23:56	미드웨이 해전의 과정을 잘 풀어냈어요. 감독이 부시기만 할 줄 아는지 알았는데..
3579	10	2020.01.18 23:24	꼭봐야할영화입니다.
3580	10	2020.01.18 21:04	
3581	10	2020.01.18 20:50	마지막에 배우들과 실제 인물이 너무 닮아서 놀랐음!!!
3582	10	2020.01.18 20:45	
3583	10	2020.01.18 15:51	진찌 기대한 만큼 재밌었던듯특히 전투기로 항공모함에 폭탄 투하하는 씬들 진짜 긴장하고 봤다
3584	10	2020.01.18 15:07	
3585	10	2020.01.18 12:00	좋았음 02937133
3586	10	2020.01.18 10:55	솔직히 재미있다액션 좋아하는 사람은 무조건 봐라 후회없다최근들어 가장 잼나게 본 영화다
3587	10	2020.01.18 10:34	일본과 미국이 싸우는게 너무 실감나요영상미도 괜찮고 역사를  배우는데도 도움이  됐어요비행기와 총알도 진짜같아요저희가족 모두 만족했습니다
3588	10	2020.01.18 05:34	
3589	10	2020.01.18 02:22	대한민국 독립을  직접적으로  만들어주신  미군분들께  감사를  드립니다
3590	10	2020.01.17 23:30	핵 꿀잼입니다 꼭 보세요
3591	10	2020.01.17 23:21	그 시대의 전쟁을 실사처럼 잘 구현한 영화라고 생각합니다. 아이가 너무 보고 싶어해서 얼떨결에 봤지만 이 해전이 2차 세계대전에서 어떠한 역할이었는지 알 수 있었다는 점이 큰 의미였습니다. 전쟁을 치루는 두나라를 미화하거나 폄하하지 않고 사실에 기반으로 최대한 구연하려고 애쓴 영화라 생각합니다. 역사에 관심이 있다면 꼭 보라고 추천 드리고 싶습니다. 청소년들이 꼭 보길 추천합니다. 
3592	10	2020.01.17 22:50	조연희? 승희? 어떤분이 유튜브 설명영상보고 가면 좋다해거 그거 보고갔더니 이해도 잘되규 넘 재밌게뷰ㅏㅆ어요 가족끼리
3593	10	2020.01.17 20:57	
3594	10	2020.01.17 18:15	액션 영상미 스토리 모두 최고의 영화!
3595	10	2020.01.17 17:32	
3596	10	2020.01.17 13:34	일베충들이 들끓는 네이버영화 평점은 믿을 수가 없다.
3597	10	2020.01.17 13:31	그냥 그럭저럭 볼만한 평범한 영화이지만 이런 일본이 적으로 나오는 영화보다 천안함 음모론 빨갱이 다큐에 훨씬 더 높은 점수를 주는 박팽식이 때문에 10점준다. 평론가 하기 참 쉽다는 걸 느낀다
3598	10	2020.01.17 13:15	실화 바탕이라 더 뭉클하고 감동적이고 배우들 연기도 멋찜요
3599	10	2020.01.17 02:45	리얼한 영상이 개쩐다  백두산? ㅋ 비교불가
3600	10	2020.01.16 22:49	꼭 보세요 원래 이런거 안 올리는데 이 영화는 다 보셨으면 해서 글 답니다.
3601	8	2020.01.16 21:54	전투 영상 매우 스펰타클 > 전쟁 스토리 복잡하고 긴장감 부족 > 개인 스토리 약하고 평범
3602	10	2020.01.16 21:32	역사를 화려한 액션씬을 보면서 배울 수 있었어요
3603	10	2020.01.16 20:51	개재밌고 그래픽 장난아님
3604	10	2020.01.15 20:34	
3605	6	2020.01.15 17:27	볼만해요
3606	10	2020.01.15 11:19	
3607	10	2020.01.15 09:58	재미는 없으나 조국 광복에 기여하신분들을 이렇게 안보고 넘길순 없지요.
3608	10	2020.01.15 00:36	
3609	10	2020.01.15 00:34	
3610	10	2020.01.15 00:21	
3611	10	2020.01.15 00:10	
3612	10	2020.01.14 22:49	아 너무 재밌게 봤습니다
3613	10	2020.01.14 22:36	정말 리얼 그자체 입니다..몰입감은 상상 그이상이구요..첨부터 끝까지 긴장을 놓을수 없는 대단한 수작입니다...^^
3614	10	2020.01.14 20:05	이게 영화다 알겠냐 백두산?
3615	10	2020.01.14 19:40	일본항공모함 박살날때 저도모르게 소리질렀네요 ㅎ
3616	10	2020.01.14 19:18	영화를보는동안긴장감과감동이있었다전쟁이실감나게하는연출이나영상들이영화를보는내내실감나는기분으로손에땀을쥐며보게되었다갠적으로슬프지만기쁜영화였다
3617	10	2020.01.12 21:56	원자폭탄까지 있어면 금상첨화인데 아갑네요
3618	9	2020.01.12 20:59	좃본ㅅㄲ들 더 개 악랄하게 나왔어야 하는데 아쉽지만 좃본 부수는 영화는 다 10점줄거다
3619	8	2020.01.12 20:26	화려한 전투신 이 영화는 극장에서 꼭 봐야하는 영화.적국에대힌 예의도 잊지않았다
3620	10	2020.01.12 19:09	차기작으로 리틀보이도 제작했으면 좋겠다ㅋㅋ
3621	10	2020.01.12 17:11	아니 이 영화보고 미국뽕이 높다는 놈들은 뭐냐ㅋㅋ 당연히 미국 전쟁 영화니까 그렇지. 하여간 불편한 분들 많아 조선인들은ㅋㅋㅋ 근래 최고의 전쟁영화임. 후회 않하니까 어줍잖은 한국영화 볼바에는 역사도 배우고 액션도 즐기셈. 
3622	10	2020.01.12 15:59	팍스 아메리카나.우리는 지금 미국의 시대를 살고있다.
3623	8	2020.01.12 10:41	욱일기 나옴 일본 군함 격파 당할때 통쾌영화 만들때 소니픽쳐가 방해 했고 중국 자본에 도움을 받아 제작됬다는데
3624	10	2020.01.11 23:29	
3625	10	2020.01.11 23:29	
3626	10	2020.01.11 23:18	
3627	10	2020.01.11 22:53	시작한지 5분만에 확 느껴버려지 모얌~
3628	10	2020.01.11 22:36	
3629	10	2020.01.11 22:23	
3630	4	2020.01.11 20:37	영상미는 너무나도 좋습니다... 하지만 스토리가 너무 유치하고 정말 어디서 많이 본 각본들과 연출들... 정통 미국을 위한 미국이 위대한 영화랄까..
3631	10	2020.01.11 20:25	상영시간 내내 몰입해서 봤던 영화.  멋있었고 재밌었다 굿굿
3632	10	2020.01.11 20:05	매우 재미있다. 잘 만들었다는 생각도 든다. 주인공이 타고 있는 비행기 추락할까 조마조마 했다 아 그리고 계속 누가 죽을 때마다 뒤에서 어떤 아줌마가 쯧쯧 거리면서 혀 차는 소리 때문에 신경 쓰였다
3633	10	2020.01.11 19:57	멋잇다 재밌다 진주만 미드웨이는 스토리가 재미 없을수가 없징
3634	10	2020.01.11 19:51	마이클베이가 대략 설명 했으니 우린 바로 시작한다.
3635	10	2020.01.11 18:59	재밌게봄 재밌게봄 재밌게봄
3636	10	2020.01.11 16:33	큰기대 안하고 봤는데 기대이상으로 좋았습니다.
3637	10	2020.01.11 16:26	포드v페라리보단 재미없고 백두산보단 재밌다
3638	10	2020.01.11 15:22	
3639	10	2020.01.11 13:53	국뽕영화는 이렇게 만드는거지
3640	10	2020.01.11 13:49	장면전환이 많아서 조금 전체적인 긴장감이 떨어짐. 애국.감동 포인트가 많아서 미국 학생들 대상으로 모병하고 애국심교육같은거 하려고 만든건가싶기도함.전투장면은 아주좋았음 급강하폭격기 위엄 ㄷㄷ
3641	10	2020.01.11 13:42	
3642	10	2020.01.11 13:33	
3643	10	2020.01.11 12:42	정말 재미있게 잘 봤습니다
3644	10	2020.01.11 12:08	
3645	10	2020.01.11 12:05	재밌었고 역사와 시대상의 감정전달이 훌륭했다고 생각합니다
3646	10	2020.01.11 11:32	
3647	8	2020.01.11 11:12	살짝 지루할때도 있지만 전쟁씬은 좋았어요
3648	10	2020.01.11 11:09	상영시간내내 손에 땀이...ㅎㅎ올해 최고의 영화!!말이 필요없음.
3649	10	2020.01.11 10:59	
3650	10	2020.01.11 08:51	일본군 전투기로 미군 배 공습할때..오만가지 감정이란..
3651	10	2020.01.11 08:36	최근본전쟁영화중최고입니다
3652	10	2020.01.11 08:20	오지고 지리는 전쟁씬... 최고다
3653	10	2020.01.11 02:58	사전 지식이 있는 스토리지만 박진감 넘치고 긴장감 있음. 미국 싫어하고 일본 혐오하는 사람들은 불편할 수 있는 영화
3654	10	2020.01.11 02:15	급강하 폭격 성공했을 때 크..대박임.
3655	10	2020.01.11 00:51	롤랜드 에머리히가 전쟁영화를?? 게다가 배우들 봐라~? 근데 일본 해군 침몰하는 미드웨이 해전이라고!? 그저 엄지 척!!
3656	10	2020.01.11 00:45	말이 필요없습니다 일단 보세요 최곱니다
3657	10	2020.01.11 00:44	가정의소중함 나라의 소중함ㆍ느낄수있는마음이 따뜻해지는  영화입니다스릴 최고입니다
3658	10	2020.01.11 00:39	지루한 시간이 없었네요
3659	10	2020.01.11 00:16	사실적인 항모 전투 중심의 해전 영화의 역작~!
3660	10	2020.01.11 00:09	스크린쿼터 웅엥충들 때문에 이 좋은 영화가 초라하게 마감하네
3661	10	2020.01.10 22:36	요즘 만연한 반미 선동영화보다 훨씬나음
3662	10	2020.01.10 22:34	요즘 만연한 반미 선동영화보다 훨씬나음
3663	10	2020.01.10 22:01	세계2차대전을 몇년을 당긴전쟁을 영화로보니더 재밌었다
3664	10	2020.01.10 21:42	진짜 이건 꼭 보세요. 지루하지 않을까 걱정했는데 괜한 걱정을 했어요ㅠ ㅠ.. 주인공 연기 너무 잘해..파일럿 너무 멋있어.. 진짜 돈 하나도 안 아깝고 연출부터 연기까지 모두 다 완벽한 영화입니다. 억지같은 부분도 없고 정말 재밌게 봤어요. 절대 후회하지 않으실 겁니다. 
3665	10	2020.01.10 21:20	조아요 왜 안봐여ㅎㅎ왜왜 안봐
3666	10	2020.01.10 21:11	비행기 액션물 정말 좋아하는데 역사공부도 할 수 있어서 너무 좋았어요 ㅠㅜ...
3667	10	2020.01.10 16:45	반복되는 격추 장면을 사용한 연출이 어느정도 예상하고 봤음에도 긴장감을 주어 재밌게 느껴졌고 연기도 훌륭했음
3668	10	2020.01.10 13:17	전쟁... 너무 무섭네요. 시간가는줄 모르고 봤어요. 최고!
3669	10	2020.01.10 12:40	정말 고증에 신경을 많이 쓴 영화입니다.
3670	10	2020.01.10 11:36	This is the Pearl.
3671	10	2020.01.10 11:04	에머리히는 한번도 실망시킨적이 없다. 정말 영화 잘만드는 감독. 믿고본다.
3672	8	2020.01.10 10:54	미국이나 일본이나 자국의 명분을 위해 치열한 전투로 많은 군인들의 안타깝고 아까운 희생을 치뤘네요.
3673	10	2020.01.10 10:44	
3674	10	2020.01.10 09:33	짱! 진짜 재밌게 봤다 136분이 너무 짧게 느껴졌던 명작!
3675	10	2020.01.10 09:16	오랜만에 돈 안아까운 영화 봤어요 꼭 보세요
3676	10	2020.01.10 08:26	
3677	10	2020.01.10 05:13	
3678	10	2020.01.10 02:28	
3679	10	2020.01.10 02:05	
3680	10	2020.01.10 01:14	재밋네요 후후 밤에 보니 조아요
3681	10	2020.01.10 00:46	공중전 액션 최고, 그래픽은 약간 미달, 급강하에서 전율 느껴짐
3682	10	2020.01.10 00:36	내용의 디테일이 조금 부실하긴 하지만 정말 재밌습니다.
3683	10	2020.01.10 00:35	실화에 가깝고 담백하고 좋네요
3684	10	2020.01.10 00:35	전쟁사의 단 한줄로 서술하기엔 너무나 아까운 수 많은 퍼즐 조각들의 맞춤
3685	10	2020.01.10 00:31	
3686	10	2020.01.10 00:15	보고 후회 절대안함 너무 재밌음 꼭보세요
3687	10	2020.01.10 00:12	
3688	10	2020.01.09 23:46	흑흑 재밌고 감동적이야..
3689	10	2020.01.09 23:45	2019년 마지막 라스트걸작이라 자부한다 ㄹㅇ 조커급 그이상의 전율 폭격간지 개오진다
3690	10	2020.01.09 23:43	
3691	10	2020.01.09 23:20	너무 재밌게 잘 봤습니다 ㅋㅋㅋㅋ여윽시 일본 OOO들
3692	10	2020.01.09 23:20	최근 몇년간 최고 영화다. 진주만은 서막에 불과하다!!!강추!강추
3693	10	2020.01.09 22:04	
3694	10	2020.01.09 19:24	
3695	10	2020.01.09 17:41	
3696	10	2020.01.09 15:29	아래 뇌에 근육을 키웠나보네
3697	10	2020.01.08 23:50	
3698	10	2020.01.08 23:48	
3699	10	2020.01.08 23:34	
3700	10	2020.01.08 23:31	올만에 전쟁영화라 그런지 잼나게봤네
3701	10	2020.01.08 22:15	미국뽕 가득한 2차대전 영화는 구리게 만들래야 구릴수가 없음.
3702	8	2020.01.08 21:08	영상미가 매우 뛰어나고 스토리의 개연성이 좋았으나, 실제 사건을 다루다보 스토리의 극적 구성보다는 영상미가 매우매우 좋았음 .
3703	10	2020.01.08 20:29	여름에는 봉오동 전투겨울에는 미드웨이
3704	10	2020.01.08 20:01	왜 미국이 세계 최강인지 알것같다 625전쟁에 낯선이와 함께 적진에 뛰어드는것 적포화 속에서도 서로 어깨를 맞대고 전선을 지키는것 그것이야 말로 진정 강력한 무기지 함께 싸울수 있어 영광이다 끝까지 함께가야하는 나라는 미국이다 
3705	10	2020.01.08 19:33	ㄹㅇ지려 너무좋아 진짜
3706	10	2020.01.08 19:03	그래픽이 정말 괜찮았음
3707	10	2020.01.08 17:51	압축하다보니 조금 놓치는 느낌이긴 했지만 등장인물별 특징을 정확히 그려냈고 시원시원한 폭격씬이 인상깊어요
3708	10	2020.01.08 17:15	
3709	10	2020.01.08 16:19	백두산보고 재밌다는 원숭이들 다 뒤졌으면 좋겠다
3710	10	2020.01.08 15:35	
3711	10	2020.01.08 15:33	베스트  ...베스트  쪽발깨러가자...
3712	10	2020.01.08 06:54	그냥 최고네요! 다시 한번 봐야겠어요!
3713	10	2020.01.08 04:46	
3714	10	2020.01.08 03:42	
3715	10	2020.01.08 03:31	
3716	10	2020.01.08 03:15	이야기 흐름이 좀 빠르긴 했는데 흥미진진하고 재밌고 ㅋㅋ조금의 역사 지식이라도 있으면 더 재밌을 영화
3717	10	2020.01.08 03:03	
3718	10	2020.01.08 02:35	
3719	10	2020.01.08 02:23	최고 전쟁영화 영상미 꿀
3720	10	2020.01.08 02:21	액션과 화려함과 감동을 다 담은 영화.. 계속되는 긴장감속에서 영화를 보게되네요..
3721	10	2020.01.08 02:14	너무 멋진 딕 베스트! 매력적인 에드 스크레인!
3722	10	2020.01.08 02:08	감동...정말 잘만든 영화.... 지루할 틈이 없었네요 ㅎㅎ
3723	10	2020.01.08 01:24	긴장을 놓을수가 없었음ㅋㅋㅋ놀이기구 타는느낌 !너무 재밋게 봤어요
3724	10	2020.01.08 00:58	
3725	10	2020.01.08 00:41	이것이 실화 라는것이 놀랍고 그것을 그대로 영화에 재대로 녹여낸거같다 정말 전쟁영화중 최고다
3726	10	2020.01.08 00:40	두번보세요 세번보세요 내 최애 영화가 되었다.
3727	10	2020.01.08 00:17	그냥 믿고 보세요. 굳이 길게 말 안해도 보시면 압니다.
3728	10	2020.01.08 00:17	
3729	10	2020.01.07 23:48	오랜만에 보는 손에 땀나는 영화
3730	10	2020.01.07 23:41	생각보다 너무 잼나게 보고 왔습니다간만에 괜찮은 전쟁영화가 나왔네요적극 추천합니다
3731	10	2020.01.07 23:30	한시라도 긴장감을 늦출수없는 영화전쟁영화좋아한다면 꼭보세여
3732	10	2020.01.07 23:24	
3733	10	2020.01.07 23:23	1분도 눈을 못뗌 와 눈치에 암호해독 진짜 지린다 어떻게 조종을 저렇게하지 진짜 멋짐
3734	10	2020.01.07 23:14	
3735	10	2020.01.07 23:11	
3736	10	2020.01.07 23:01	올해 포드 페라리랑 더불어 최고 영화였음정말 현실적이게 재밌다고 해야하나?
3737	10	2020.01.07 22:46	몰입도높고 실화라 더 긴장감있게 잘봤음 전투씬은 역시 영화관에서 봐야함
3738	10	2020.01.07 22:41	
3739	10	2020.01.07 22:36	긴 말 필요없고 꼭 보세요..
3740	10	2020.01.07 22:34	보는 내내 가슴 벅차고 멋있음
3741	10	2020.01.07 22:29	이건 솔직히 10점 줘야지. 님자의 로망이 전부 들어있는 종합 선물세트인데도 잘팔리는 거만 들어있잖아
3742	10	2020.01.07 22:11	역사적 사실을 사실적으로 볼수있어 좋았어요
3743	10	2020.01.07 22:03	집중해서본영화다 꼭영화관가서보시길 추천합니다
3744	10	2020.01.07 21:53	전쟁영화 선호하지 않았는데지금보고 왔는데 가슴에 감동이 가시질 않아요~~!강추~~~~!!
3745	10	2020.01.07 19:51	꼭 보세요!!! 재밌어요
3746	10	2020.01.07 19:46	최근에 본 영화중에 제일 재미있었어요
3747	10	2020.01.07 19:31	실화를 바탕으로 하여서 더 감동있게 봣어요,영상도 시원시원하고 전쟁 가족 국가를 잠시나마 생각하게한영화..강추합니다.
3748	10	2020.01.07 19:24	너무좋았다 백두산보다 미드웨이
3749	10	2020.01.07 18:59	
3750	10	2020.01.07 18:58	우리에게 저런일이 닥친다면 저런 용기를 낼수 있을까.고인들의 숭고함에 고개가 숙여집니다.(그리고 영화 '진주만'을 먼저 보시면 이해가 더 쉽습니다)
3751	10	2020.01.07 18:57	진짜 대박이다 중반부터 울었다
3752	10	2020.01.07 15:34	
3753	10	2020.01.07 15:28	잘봤습니다 정말 잘 만든 영화!
3754	10	2020.01.07 15:26	2020년 상반기 최고의 영화!
3755	10	2020.01.07 15:11	너무 재밌어요~~꼭 추천요
3756	10	2020.01.07 15:04	올해 처음 본 영화인데 인생 영화라고 말할 정도로 재미있었어요 전쟁 장르를 좋아했던 건 아닌데 최고 ㅜㅜ 그리고 전쟁이 다시는 일어나지 않았으면 하는 생각이 들었어요 제가 학생이라 이해력도 쫌 떨어지고 하는데 이해도 되게 잘 됐고 팝콘을 까먹고 영화에 집중한 것도 굉장히 오랜만이었어요 완전 추천해 주고 싶은 영화예용 그리고 파일럿들 진짜 너무너무너무너무 멋있어여... 용감해 용맹해 ㅠㅜ 굿 
3757	10	2020.01.07 14:29	
3758	10	2020.01.07 14:28	
3759	10	2020.01.07 14:07	재밌었어요 일본 뿌셔 다때려뿌셔
3760	7	2020.01.07 13:32	진주만과 비교했을때 재미와 감동은 떨어진다.ost도 별로고 사실을 기반으로 해서 좋았다
3761	10	2020.01.07 10:50	
3762	10	2020.01.07 03:44	기대안하고 보면 훌륭해요
3763	10	2020.01.07 03:10	
3764	10	2020.01.07 01:59	밀덕으로서 전투진행 상황 내용이 생냑된 부분이  좀 있어아쉽지만 방대한 스토리 진행 분량으로 볼때 어쩔수 없을듯.  잘 만들었다
3765	10	2020.01.07 01:47	보는내내 이건 영화가아니라 실제상황찍었다고생각하고 싶을만큼 스케일크고 연출력뛰어나고영상미가 죽임다
3766	10	2020.01.07 01:35	
3767	10	2020.01.07 01:24	
3768	10	2020.01.07 01:23	
3769	10	2020.01.07 00:53	초반에는 약간 지루하지만 뒤로 갈수록 몰입감이 있어요.재미있게 잘 봤습니다.
3770	10	2020.01.07 00:04	초반에는 약간 지루하지만 뒤로 갈수록 몰입감이 있어요.재미있게 잘 봤습니다.
3771	10	2020.01.07 00:01	전투씬이 많아 지루할 틈이 없었고 그 당시의 고증들을 잘 남아낸 영화. 한 번 더 볼 의향 있어요~
3772	10	2020.01.06 23:44	백두산 싼타페 CG랑 미드웨이 전쟁씬이랑 너무 비교가 된다.영화는 이렇게 만들어야지. 싼타페 광고처럼 만들면 안돼.강력 추천합니다. 너무 재밌음.
3773	10	2020.01.06 23:39	짜낸 듯한 백두산 영화에 비교가 않되네요
3774	10	2020.01.06 23:22	
3775	10	2020.01.06 23:15	정말 잘 만든 영화로 시간가는줄 모르고 봤습니다.
3776	10	2020.01.06 23:13	내가 전쟁터 중간에 있는듯한 느낌이였다랄까
3777	10	2020.01.06 23:13	실화를 바탕으로한 명작 전쟁영화였습니다! 스토리도 딱 적당해서 지루하지 않았고요!! ^^
3778	10	2020.01.06 21:55	
3779	10	2020.01.06 21:48	지금은 전역했지만 군생활 중에 봤으면 뽕 차올랐을 영화.. 정훈장교들 얼른 DVD구매해라
3780	10	2020.01.06 21:25	재밌게잘봤습니다 ㅎㅎ
3781	10	2020.01.06 21:01	진짜한국영화는보고좀배워라백두산보다1000배는잼있다진심
3782	10	2020.01.06 20:58	확실히 볼거리는 화려함
3783	10	2020.01.06 20:46	미드웨이 처음접함. 영화로 역사공부 일본박살 통쾌함.
3784	10	2020.01.06 19:09	근래 본 최고의 영화예요♡감동
3785	10	2020.01.06 18:43	일본의 야욕은 아직 끝나지 않았다. 영화를 통해 일본의 야욕과 파렴치한 짓을 다시 확인했다. 미드웨이 때 한국은 어디있었는가?!!! 그 질문이 내내 끊이지 않았다. 절대적인 우방은 없다. 우리나라가 더 강해져야한다. 이런 전쟁이 다시금 우리의 나라와 민족을 위협하지 않도록. 그리고 인류 전체를! 
3786	10	2020.01.06 17:34	역사를 잊은 민족에게 미래는 없다. // A nation that forgets its past has no future. // ?史を忘れた民族に未?はない。
3787	6	2020.01.06 10:29	미국판 &#34;명량&#34;으로 해석하면 될라나??미드웨이 해전의 역사적 사실 및 지리 등을 잘 모르고 보니 약간 재미가 없었던 듯....그러나 우리나라와도 밀접한 관계(일본의 패망)가 있는 전쟁이었기에 의미가 있는 것 같다. 
3788	8	2020.01.05 23:03	서사의 완성도는 부족하지만 실화를 바탕으로한 무난한 전개와 배우들의 연기, 볼거리는 충분히 만족스럽다. 개인적으로 좋아하는 장르와 사건이라서 더 흥미롭게 볼수있었던 작품.
3789	8	2020.01.05 21:35	정석적인 전쟁영화 2d관에서 봤는데 기총소사가 오면 부르르 잼있는 킬링타임
3790	7	2020.01.05 20:40	솔직히 기대많이 한 탓일까 음향요소 정말 실망스럽고 중간에 루즈해지는 경향도 다소 느껴짐 그치만 공중전이나 폭격장면은 멋짐 그저 아카기에 한발 내리꽂는걸 보기위해 만원돈주고 보는것
3791	10	2020.01.05 17:23	일본에 악랄함을 또한번 느끼게되는영화입니다 저많은희생에 댓가는 언제 다갚게될까요 일본에끝은 꼭그마지막이 비참할겁니다
3792	10	2020.01.05 13:48	역대급입니다 꼭 보세요  대박!!!
3793	7	2020.01.05 05:44	완전 재미까지는 아니구 그냥 볼만한 영화약간 산만하기도하구 초반 전투신은 콜오브듀티 플스화면하고 거의 같음..그냥 볼만함
3794	6	2020.01.05 02:43	밀덕들은 좋아할만한 영화
